genome	user_genome	Domain	Phylum	Class	Order	Family	Genus	Species	length	filtered_reads_1	filtered_reads_3	filtered_reads_5	filtered_reads_7	filtered_reads_10	filtered_reads_25	ra_1	ra_3	ra_5	ra_7	ra_10	ra_25
M1_3.117.filtered.fa	M1_3.117.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__SZUA-36	g__SZUA-36	s__	2112507.0	11866	88637.0	52614.0	103214.0	46100.0	459.0	0.0056170228074983895	0.041958204162163726	0.024905952974357007	0.048858536326743536	0.021822412896146615	0.00021727738653647065
M1_3.118.filtered.fa	M1_3.118.filtered	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__UBA5794	g__	s__	910989.0	832	7688.0	1708.0	2557.0	1143.0	32.0	0.0009132931352628846	0.00843917983641954	0.0018748854267175564	0.0028068395995999953	0.0012546803528911985	3.5126659048572486e-05
M1_3.119.filtered.fa	M1_3.119.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA9214	f__UBA9214	g__UBA9214	s__	4236496.0	189938	388085.0	186499.0	197983.0	160590.0	2229.0	0.04483374940044792	0.09160518503971206	0.04402199364758045	0.04673272440243069	0.0379063263602751	0.0005261423591571903
M1_3.120.filtered.fa	M1_3.120.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__SZUA-36	g__SZUA-36	s__	1051994.0	3013	53564.0	33509.0	32010.0	18737.0	79.0	0.002864084776148913	0.05091664020897457	0.031852843267166926	0.030427930197320516	0.017810938085198205	7.50954853354677e-05
M1_3.123.filtered.fa	M1_3.123.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__SG8-13	g__SG8-13	s__	7868599.0	573265	423147.0	178866.0	190971.0	108323.0	19051.0	0.0728547737659525	0.05377666341873566	0.022731619694941883	0.024270012997231145	0.013766491341088802	0.002421142569344301
M1_3.124.filtered.fa	M1_3.124.filtered	d__Bacteria	p__Calditrichota	c__Calditrichia	o__	f__	g__	s__	1341534.0	2504	7948.0	1938.0	3145.0	1228.0	44.0	0.0018665199689310893	0.005924560987645487	0.0014446148960816497	0.002344331191009695	0.0009153700167122116	3.279827421444406e-05
M1_3.126.filtered.fa	M1_3.126.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__BM004	g__BM004	s__	6431798.0	20848	147087.0	79878.0	148774.0	54419.0	1436.0	0.0032413953298906463	0.022868721934364233	0.012419233315474149	0.023131012510032186	0.008460931142427047	0.0002232657182330664
M1_3.128.filtered.fa	M1_3.128.filtered	d__Bacteria	p__Desulfobacterota	c__DSWW01	o__DSWW01	f__DSWW01	g__S015-6	s__	4836470.0	38645	88118.0	28181.0	42610.0	15473.0	1624.0	0.00799033179157526	0.018219486526330153	0.005826770351103181	0.008810144588925393	0.0031992341521812394	0.00033578208900292983
M1_3.129.filtered.fa	M1_3.129.filtered	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__UBA4823	g__9FT-COMBO-55-16	s__	869108.0	8752	18907.0	7704.0	11857.0	5515.0	857.0	0.01007009485587522	0.021754488510058588	0.008864260828343544	0.013642723343934241	0.006345586509386636	0.000986068474804052
M1_3.13.filtered.fa	M1_3.13.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__JAACFB01	s__	453190.0	17906	23996.0	13116.0	13640.0	11818.0	313.0	0.039511021867208014	0.05294909419890112	0.028941503563626736	0.030097751494957966	0.026077362695558156	0.0006906595467684636
M1_3.131.filtered.fa	M1_3.131.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__GCA-2748055	g__GCA-2748055	s__	5692043.0	6329	77970.0	45781.0	33421.0	41347.0	190.0	0.0011119030548434015	0.013698069392659192	0.008042982106776073	0.0058715297828916616	0.0072639999381592865	3.337993054514873e-05
M1_3.133.filtered.fa	M1_3.133.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SZUA-229	f__SZUA-229	g__JABDQW01	s__	8849835.0	688614	484121.0	229758.0	378920.0	141313.0	2526.0	0.07781094223790613	0.05470395775740452	0.02596183996650785	0.04281661748495876	0.01596786832748859	0.0002854290503721256
M1_3.134.filtered.fa	M1_3.134.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Arenicellales	f__BMS3Bbin11	g__BMS3Bbin11	s__	2660313.0	73516	149866.0	72315.0	138574.0	55270.0	1032.0	0.027634342274762407	0.056333972731780056	0.027182891637187054	0.05208935940996417	0.020775750823305378	0.0003879242780830677
M1_3.135.filtered.fa	M1_3.135.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__DTKJ01	s__	3487858.0	177782	88275.0	36377.0	45940.0	16377.0	85653.0	0.05097168520048695	0.025309229905575284	0.01042961037978037	0.013171407780936036	0.004695431981462548	0.02455747911755582
M1_3.136.filtered.fa	M1_3.136.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halieaceae	g__Halioglobus	s__	7524738.0	11318	119518.0	51899.0	127203.0	51230.0	209.0	0.0015041055250029967	0.015883343712432246	0.006897117215243906	0.016904641729718697	0.006808210465268027	2.777505343043173e-05
M1_3.137.filtered.fa	M1_3.137.filtered	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__KS3-K002	f__JABDQB01	g__JABDQB01	s__	7570876.0	60539	122834.0	57985.0	71685.0	37949.0	4771.0	0.007996300560199374	0.016224542576050646	0.007658955185635057	0.009468521212076383	0.0050124978932424725	0.0006301780665804062
M1_3.139.filtered.fa	M1_3.139.filtered	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__SG8-38	s__	5099507.0	915575	2492276.0	1129200.0	1338780.0	808384.0	4690.0	0.17954186551758827	0.48872881241265087	0.22143316991230722	0.2625312603747774	0.15852199045907772	0.0009196967471561466
M1_3.14.filtered.fa	M1_3.14.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__JABDPQ01	s__	1404996.0	1830	24182.0	15977.0	16344.0	15388.0	542.0	0.0013024948113731284	0.017211436900887975	0.011371562623665833	0.011632773331739022	0.010952344348311311	0.00038576622282198667
M1_3.140.filtered.fa	M1_3.140.filtered	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__	2823634.0	279380	207415.0	95165.0	114741.0	62651.0	227477.0	0.09894341830421365	0.0734567582059148	0.03370302241721129	0.04063593227734189	0.0221880739500941	0.08056178669048468
M1_3.142.filtered.fa	M1_3.142.filtered	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__SG8-38	s__	3548074.0	7470	43263.0	17163.0	25470.0	13820.0	115.0	0.0021053675881619154	0.012193375899149792	0.004837272277861172	0.007178542499395446	0.0038950709596248557	3.241195082176978e-05
M1_3.143.filtered.fa	M1_3.143.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aureibaculum	s__	3301049.0	9678	21668.0	16226.0	36907.0	17491.0	196.0	0.002931795317185537	0.006563974057943399	0.004915407193289163	0.011180385386584689	0.005298618711809489	5.93750653201452e-05
M1_3.145.filtered.fa	M1_3.145.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__SZUA-36	g__SZUA-36	s__	8640113.0	21459	187019.0	100192.0	140855.0	86462.0	310.0	0.002483648072658309	0.02164543449836825	0.011596144633756526	0.016302448822139246	0.01000704504674881	3.5879160376721926e-05
M1_3.147.filtered.fa	M1_3.147.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__GCA-001735895	f__GCA-001735895	g__GCA-001735895	s__	5091151.0	57358	275531.0	160052.0	215629.0	129386.0	2072.0	0.011266214653621548	0.05411958906738378	0.03143729188154113	0.04235368387227171	0.02541389952880989	0.0004069806611510835
M1_3.148.filtered.fa	M1_3.148.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__DSM-19610	f__DSM-19610	g__Thiogranum	s__	4781271.0	2295769	1649903.0	738253.0	819261.0	485616.0	161524.0	0.48015872766885626	0.3450762360050288	0.15440517803738796	0.17134795329526395	0.10156629900292202	0.033782649006927234
M1_3.149.filtered.fa	M1_3.149.filtered	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Promineofilales	f__Promineofilaceae	g__JAACFF01	s__	3792464.0	539199	417564.0	188133.0	220036.0	124412.0	31197.0	0.1421764319977724	0.11010361601323045	0.04960706284884972	0.058019271903437974	0.032805057608984556	0.008226050398896338
M1_3.151.filtered.fa	M1_3.151.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__JAACFE01	s__	1611046.0	1656	15925.0	7511.0	12026.0	8841.0	17.0	0.0010279036104493603	0.009884882244206559	0.004662188416718082	0.007464715470570052	0.0054877390217287405	1.055215059036179e-05
M1_3.152.filtered.fa	M1_3.152.filtered	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__UBA5794	g__	s__	3354297.0	46807	155795.0	67043.0	150740.0	37788.0	739.0	0.013954339761804038	0.046446393983597754	0.019987198509851693	0.04493937179683254	0.011265549830560622	0.00022031442057754576
M1_3.155.filtered.fa	M1_3.155.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__SZUA-117	s__	1125406.0	2199	15522.0	7568.0	6443.0	7967.0	143.0	0.001953961503670675	0.013792355825364358	0.00672468424728498	0.005725045005980064	0.00707922296486779	0.00012706525467253595
M1_3.156.filtered.fa	M1_3.156.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__UBA11574	g__UBA11574	s__	2794928.0	26820	58214.0	26155.0	31826.0	16146.0	1647.0	0.009595953813479274	0.02082844352341098	0.009358022818476898	0.011387055408940767	0.005776893000463697	0.0005892817274720494
M1_3.157.filtered.fa	M1_3.157.filtered	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__SMWR01	g__	s__	542883.0	484	2912.0	564.0	1224.0	474.0	142.0	0.0008915364820780905	0.005363955032668181	0.001038897884074469	0.0022546294505445923	0.0008731163068285432	0.000261566488543572
M1_3.158.filtered.fa	M1_3.158.filtered	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__UBA8639	g__UBA8639	s__	3593698.0	58692	132557.0	69550.0	102688.0	45704.0	539.0	0.016331923272350654	0.03688595981075761	0.019353323512437605	0.028574465634007087	0.012717818803917301	0.00014998477891019224
M1_3.159.filtered.fa	M1_3.159.filtered	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__67-14	s__	2508455.0	278595	306755.0	127067.0	217304.0	74993.0	12048.0	0.11106238700714184	0.12228842056166046	0.05065548315596652	0.08662862200039466	0.029896091418821547	0.0048029564014502955
M1_3.16.filtered.fa	M1_3.16.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA9214	f__UBA9214	g__UBA9214	s__	5805634.0	391441	493258.0	235503.0	196671.0	182193.0	1703.0	0.0674243329841323	0.08496195247581918	0.040564561941038656	0.03387588676792233	0.03138210228202467	0.00029333574937724286
M1_3.160.filtered.fa	M1_3.160.filtered	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__	1066539.0	1446	15689.0	7299.0	10179.0	5009.0	25.0	0.0013557872707889726	0.014710198126838306	0.006843631597156784	0.009543954792089178	0.004696499612297347	2.3440305511565915e-05
M1_3.161.filtered.fa	M1_3.161.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__GCA-2748055	g__GCA-2748055	s__	5480226.0	11905	51793.0	17633.0	35280.0	10988.0	497.0	0.002172355665624009	0.009450887609379613	0.0032175680346029525	0.0064376907083758955	0.0020050267999896353	9.068969053466043e-05
M1_3.162.filtered.fa	M1_3.162.filtered	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__	s__	3089799.0	10655	35669.0	15082.0	19231.0	10213.0	51.0	0.0034484443810098974	0.011544116623767435	0.0048812236653581675	0.006224029459521477	0.0033053930045287734	1.650592805551429e-05
M1_3.163.filtered.fa	M1_3.163.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__GCA-001735895	f__GCA-001735895	g__GCA-001735895	s__	4579833.0	30926	278860.0	183138.0	328139.0	161376.0	534.0	0.006752647967731574	0.060888683058967434	0.03998792095694319	0.07164868238645383	0.03523621931192688	0.00011659813796703942
M1_3.165.filtered.fa	M1_3.165.filtered	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__	5018478.0	40740	220706.0	102637.0	64321.0	73978.0	1372.0	0.0081179991224431	0.04397867241821126	0.02045181826043673	0.012816834107870953	0.01474112270692429	0.00027338966116818684
M1_3.166.filtered.fa	M1_3.166.filtered	d__Bacteria	p__Schekmanbacteria	c__	o__	f__	g__	s__	2386686.0	35534	49072.0	17530.0	21287.0	11469.0	455.0	0.014888426881458222	0.020560727301371023	0.007344912569143993	0.008919061828828762	0.004805408000884909	0.00019064091380265356
M1_3.167.filtered.fa	M1_3.167.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__BM004	g__BM004	s__BM004 sp012974315	3460406.0	69232	255757.0	154369.0	139904.0	100642.0	636.0	0.020006900924342402	0.07390953547069333	0.044610083325482615	0.040429937989935286	0.029083870505368446	0.00018379346238562758
M1_3.17.filtered.fa	M1_3.17.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__B30-G6	g__B30-G6	s__	2976227.0	12666	69179.0	35163.0	58687.0	24008.0	517.0	0.004255723773757848	0.023243858751365403	0.01181462301094641	0.019718590013463353	0.008066589006819709	0.00017370986823249705
M1_3.170.filtered.fa	M1_3.170.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA9214	f__UBA9214	g__UBA9214	s__UBA9214 sp905480305	1906355.0	41718	173681.0	103018.0	134593.0	80109.0	2521.0	0.021883647064686273	0.09110632594663638	0.054039252919839166	0.07060227502222828	0.04202207878385715	0.0013224189618407905
M1_3.172.filtered.fa	M1_3.172.filtered	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Promineofilales	f__Promineofilaceae	g__JAACFF01	s__	443158.0	9649	10509.0	5090.0	2579.0	4166.0	51.0	0.021773272737939966	0.02371388985418293	0.011485745490321737	0.005819594817198381	0.009400710356125806	0.00011508310805626887
M1_3.173.filtered.fa	M1_3.173.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__F082	g__JAADID01	s__	3815990.0	5465	85702.0	52445.0	79248.0	29278.0	441.0	0.0014321316355650827	0.022458654241756398	0.01374348465273756	0.02076735001926106	0.007672451971834308	0.00011556634058265352
M1_3.174.filtered.fa	M1_3.174.filtered	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__BM002	f__BM002	g__BM002	s__BM002 sp002899795	3216381.0	1033592	1225432.0	653395.0	701440.0	327980.0	21959.0	0.3213524765878172	0.38099715176777876	0.20314602032532839	0.2180836163377411	0.10197175023730087	0.006827238439724647
M1_3.175.filtered.fa	M1_3.175.filtered	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Fen-336	f__Fen-336	g__	s__	2179657.0	2831	17317.0	3860.0	7639.0	2447.0	62.0	0.001298828210126639	0.007944828016518196	0.001770920837544623	0.0035046798647677133	0.0011226537019356716	2.844484246833332e-05
M1_3.176.filtered.fa	M1_3.176.filtered	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__LZORAL124-64-63	f__LZORAL124-64-63	g__LZORAL124-64-63	s__	1301189.0	637	8091.0	2693.0	2237.0	2232.0	6.0	0.0004895522479824222	0.0062181589300247695	0.0020696455318942905	0.001719196826902164	0.00171535418759304	4.611167170949032e-06
M1_3.180.filtered.fa	M1_3.180.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__UBA1847	s__	622963.0	4270	5243.0	2805.0	1226.0	4823.0	13.0	0.0068543396638323624	0.008416230177394164	0.00450267511874702	0.0019680141517232964	0.007742032833410652	2.0868013028061056e-05
M1_3.182.filtered.fa	M1_3.182.filtered	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Filomicrobium	s__	4746667.0	791792	630495.0	287672.0	441390.0	190700.0	694422.0	0.1668101006453581	0.13282899348111002	0.060605051923802535	0.09298945976197615	0.04017555897643547	0.1462967593892725
M1_3.185.filtered.fa	M1_3.185.filtered	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__SMWR01	g__	s__	2687489.0	12069	28613.0	6680.0	12324.0	3480.0	4472.0	0.004490809078660415	0.010646741251778146	0.0024855915689329334	0.004585693187953513	0.001294889020941109	0.0016640068108185746
M1_3.186.filtered.fa	M1_3.186.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__JAACFB01	s__	3557576.0	22346	124763.0	85017.0	42310.0	108448.0	148.0	0.006281243183560941	0.03506966541262927	0.023897451523171957	0.011892929342900897	0.03048367765017529	4.1601360027164565e-05
M1_3.189.filtered.fa	M1_3.189.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__UBA1847	s__	1435529.0	93153	94118.0	43625.0	60185.0	31685.0	3259.0	0.0648910610652937	0.06556328712272619	0.030389494047142203	0.04192531115707172	0.02207200272512781	0.0022702432343756204
M1_3.190.filtered.fa	M1_3.190.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__41T-STBD-0c-01a	s__	489391.0	1217	4707.0	2055.0	1397.0	1823.0	14.0	0.0024867641619890843	0.009618076343864109	0.004199096428009506	0.002854568228676048	0.00372503785316853	2.8606982964541645e-05
M1_3.191.filtered.fa	M1_3.191.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__UBA11574	g__JAAXQD01	s__JAAXQD01 sp012974475	2848475.0	199840	370323.0	190135.0	164404.0	120609.0	3676.0	0.07015683830821756	0.13000746013217598	0.06674975206031297	0.057716497424060244	0.042341603840651575	0.0012905151001851869
M1_3.193.filtered.fa	M1_3.193.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA9214	f__UBA9214	g__UBA9214	s__	6771465.0	90946	233863.0	114366.0	188649.0	89998.0	1459.0	0.013430771627705378	0.03453654415994176	0.016889402810174755	0.02785940708546821	0.013290772380865883	0.00021546297588483437
M1_3.194.filtered.fa	M1_3.194.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__F082	g__JAADID01	s__	1421470.0	2803	18934.0	10878.0	9544.0	6797.0	412.0	0.0019719023264648567	0.013320013788542846	0.007652641279801895	0.006714176169739777	0.004781669679979177	0.0002898407986098898
M1_3.196.filtered.fa	M1_3.196.filtered	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__UBA5794	f__UBA5794	g__	s__	1590218.0	42697	39089.0	16216.0	27905.0	9700.0	4732.0	0.02684977782920329	0.024580906517219652	0.010197344011953078	0.0175479085257493	0.00609979260705136	0.0029756926408831996
M1_3.199.filtered.fa	M1_3.199.filtered	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Promineofilales	f__Promineofilaceae	g__JAACFF01	s__	3848680.0	80497	154927.0	73247.0	82557.0	65315.0	1475.0	0.020915482710955443	0.04025458079133625	0.019031719966326115	0.02145073115977426	0.01697075360902959	0.00038324828252803557
M1_3.200.filtered.fa	M1_3.200.filtered	d__Bacteria	p__Desulfobacterota	c__WTBG01	o__WTBG01	f__WTBG01	g__	s__	1766865.0	35706	57160.0	25875.0	50731.0	15498.0	537.0	0.02020867468652104	0.03235108511402965	0.014644582353490504	0.02871243699999717	0.008771468108768922	0.00030392814391591886
M1_3.201.filtered.fa	M1_3.201.filtered	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__	g__	s__	909504.0	36549	16653.0	7420.0	5297.0	2403.0	4835.0	0.040185639645345154	0.01830997994511294	0.00815829287171909	0.00582405355006685	0.0026420994300189993	0.005316084371261699
M1_3.202.filtered.fa	M1_3.202.filtered	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__	s__	5997721.0	72168	155608.0	56490.0	74104.0	35796.0	758.0	0.012032570371312704	0.02594452126065884	0.009418577489683165	0.01235535964410482	0.005968266946728599	0.00012638133717790475
M1_3.203.filtered.fa	M1_3.203.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Competibacterales	f__	g__	s__	5258540.0	88554	347526.0	165685.0	182384.0	109370.0	659.0	0.016840035447101286	0.06608792554587395	0.03150779493927972	0.034683391207445416	0.02079854864658251	0.00012531995572915677
M1_3.204.filtered.fa	M1_3.204.filtered	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__Mor1	g__	s__	1197883.0	1993	7480.0	1744.0	2312.0	1170.0	298.0	0.0016637684982590119	0.006244349406411144	0.0014559017867354323	0.001930071634708899	0.000976723102339711	0.00024877220897199473
M1_3.207.filtered.fa	M1_3.207.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__GCA-001735895	f__GCA-001735895	g__GCA-001735895	s__	348056.0	3994	18770.0	10160.0	15135.0	8288.0	139.0	0.01147516491599053	0.05392810352357092	0.029190704944031996	0.04348438182361459	0.023812260096076492	0.00039936102236421724
M1_3.208.filtered.fa	M1_3.208.filtered	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__CAIYMF01	g__	s__	3532330.0	35065	87871.0	35609.0	66259.0	16965.0	2509.0	0.009926875461805663	0.02487621484968845	0.010080881457847937	0.01875787369809729	0.004802778902310939	0.0007102960368934952
M1_3.21.filtered.fa	M1_3.21.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__QNYL01	s__	1768884.0	900	9841.0	3573.0	6652.0	3694.0	123.0	0.0005087953760676223	0.005563394773201635	0.0020199176429884606	0.0037605631573353593	0.0020883223546597743	6.953536806257505e-05
M1_3.210.filtered.fa	M1_3.210.filtered	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__UBA11574	g__UBA11574	s__	4614680.0	204887	311226.0	146643.0	199501.0	84668.0	9671.0	0.044398961574800416	0.06744259623635875	0.03177750136520842	0.043231816724019864	0.018347534390250244	0.0020957032773670113
M1_3.211.filtered.fa	M1_3.211.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__GCA-2729495	f__GCA-2729495	g__GCA-2729495	s__	2082559.0	14185	39788.0	20080.0	27351.0	17392.0	2533.0	0.006811331635742373	0.019105341073170076	0.0096419837325137	0.01313336140776804	0.008351263997802703	0.0012162920714371118
M1_3.215.filtered.fa	M1_3.215.filtered	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__KS3-K002	f__JABDQB01	g__JABDQB01	s__	3377001.0	55702	144862.0	75520.0	111052.0	53720.0	1756.0	0.016494516880510252	0.04289664113217615	0.022363037499840834	0.03288479926419921	0.015907605594431273	0.0005199880011880364
